"";"SchoolName2";"variable";"estimate";"Total";"Percent";"LeaveTime";"CumPer";"LeaveDT";"School.name";"Proposed.tier";"Start";"End";"Type";"Name";"Address";"State";"MailingAddress";"CurrentStartTime";"Total.Students";"Female";"%.Female";"Gender.X";"%.Gender.X";"Male";"%.Male";"American.Indian/.Alaskan.Native";"%.American.Indian/.Alaskan.Native";"Asian";"%.Asian";"Black/.African.American";"%.Black/.African.American";"Hispanic/.Latino.of.any.race(s)";"%.Hispanic/.Latino.of.any.race(s)";"Native.Hawaiian/.Other.Pacific.Islander";"%.Native.Hawaiian/.Other.Pacific.Islander";"Two.or.More.Races";"%.Two.or.More.Races";"White";"%.White";"English.Language.Learners";"%.English.Language.Learners";"Foster.Care";"%.Foster.Care";"Highly.Capable";"%.Highly.Capable";"Homeless";"%.Homeless";"Low-Income";"%.Low-Income";"Migrant";"%.Migrant";"Military.Parent";"%.Military.Parent";"Mobile";"%.Moble";"Section.504";"%.Section.504";"Students.with.Disabilities";"%.Students.with.Disabilities";"Non-English.Language.Learners";"%.Non-English.Language.Learners";"Non-Foster.Care";"%.Non-Foster.Care";"Non-Highly.Capable";"%.Non-Highly.Capable";"Non-Homeless";"%.Non-Homeless";"Non-Low.Income";"%.Non-Low.Income";"Non.Migrant";"%.Non.Migrant";"Non.Military.Parent";"%.Non.Military.Parent";"Non.Mobile";"%.Non.Mobile";"Non.Section.504";"%.Non.Section.504";"Students.without.Disabilities";"%.Students.without.Disabilities";"2020-21.FRPL.%.based.on.2019-20.as.of.Mar.31";"2020-21.Preliminary.FRPL.%.based.on.2019-20.data.as.of.Mar.6";"2020-21.Preliminary.FRPL.%.based.on.2019-20.data.as.of.Jan.29";"2019-20.FINAL.FRPL.%.based.on.2018-19.data";"2018-19.FINAL.FRPL.%.based.on.2017-18..data";"3.Year.Average.for.2020-21.Eligibility";"Preliminary.High.Poverty.Eligibility.for.SY.2020-21";"Title.I.School.Wide";"Title1";"ProposedStart";"TimeShift";"ADR_LGT";"ADR_LTT";"GEOID";"median_hhi";"HHI_group";"NeedToLeave"
"1";"Adams Elementary School";"Go2Work_0500";306;18912;0,0161802030456853;5H 0M 0S;0,0161802030456853;2022-04-26 05:00:00;"Adams​";1;"7:30 a.m.";"2 p.m.";"Elementary School";"Adams Elementary";"6110 28th Ave. NW";"Seattle, WA 98107";"6110 28th Ave. NW,Seattle, WA 98107";2022-04-26 08:55:00;359;164;0,4568245125;2;0,005571030641;193;0,5376044568;0;0;9;0,02506963788;11;0,03064066852;23;0,06406685237;1;0,00278551532;42;0,1169916435;273;0,7604456825;22;0,06128133705;0;0;12;0,03342618384;0;0;36;0,1002785515;0;0;2;0,005571030641;9;0,02506963788;0;0;49;0;337;0,938718663;359;1;347;0,9665738162;359;1;323;0,8997214485;359;1;357;0,9944289694;350;0,9749303621;359;1;310;0,8635097493;0,11;0,11;0,11;0,1306;0,121157323688969;0,1206;"No";NA;"No";2022-04-26 07:30:00;-85;-122,39155;47,67342;"53033003202";114170,958333333;"100-150K";2022-04-26 07:00:00
"2";"Adams Elementary School";"Go2Work_0530";352;18912;0,0186125211505922;5H 30M 0S;0,0347927241962775;2022-04-26 05:30:00;"Adams​";1;"7:30 a.m.";"2 p.m.";"Elementary School";"Adams Elementary";"6110 28th Ave. NW";"Seattle, WA 98107";"6110 28th Ave. NW,Seattle, WA 98107";2022-04-26 08:55:00;359;164;0,4568245125;2;0,005571030641;193;0,5376044568;0;0;9;0,02506963788;11;0,03064066852;23;0,06406685237;1;0,00278551532;42;0,1169916435;273;0,7604456825;22;0,06128133705;0;0;12;0,03342618384;0;0;36;0,1002785515;0;0;2;0,005571030641;9;0,02506963788;0;0;49;0;337;0,938718663;359;1;347;0,9665738162;359;1;323;0,8997214485;359;1;357;0,9944289694;350;0,9749303621;359;1;310;0,8635097493;0,11;0,11;0,11;0,1306;0,121157323688969;0,1206;"No";NA;"No";2022-04-26 07:30:00;-85;-122,39155;47,67342;"53033003202";114170,958333333;"100-150K";2022-04-26 07:00:00
"3";"Adams Elementary School";"Go2Work_0600";242;18912;0,0127961082910321;6H 0M 0S;0,0475888324873096;2022-04-26 06:00:00;"Adams​";1;"7:30 a.m.";"2 p.m.";"Elementary School";"Adams Elementary";"6110 28th Ave. NW";"Seattle, WA 98107";"6110 28th Ave. NW,Seattle, WA 98107";2022-04-26 08:55:00;359;164;0,4568245125;2;0,005571030641;193;0,5376044568;0;0;9;0,02506963788;11;0,03064066852;23;0,06406685237;1;0,00278551532;42;0,1169916435;273;0,7604456825;22;0,06128133705;0;0;12;0,03342618384;0;0;36;0,1002785515;0;0;2;0,005571030641;9;0,02506963788;0;0;49;0;337;0,938718663;359;1;347;0,9665738162;359;1;323;0,8997214485;359;1;357;0,9944289694;350;0,9749303621;359;1;310;0,8635097493;0,11;0,11;0,11;0,1306;0,121157323688969;0,1206;"No";NA;"No";2022-04-26 07:30:00;-85;-122,39155;47,67342;"53033003202";114170,958333333;"100-150K";2022-04-26 07:00:00
"4";"Adams Elementary School";"Go2Work_0630";1138;18912;0,060173434856176;6H 30M 0S;0,107762267343486;2022-04-26 06:30:00;"Adams​";1;"7:30 a.m.";"2 p.m.";"Elementary School";"Adams Elementary";"6110 28th Ave. NW";"Seattle, WA 98107";"6110 28th Ave. NW,Seattle, WA 98107";2022-04-26 08:55:00;359;164;0,4568245125;2;0,005571030641;193;0,5376044568;0;0;9;0,02506963788;11;0,03064066852;23;0,06406685237;1;0,00278551532;42;0,1169916435;273;0,7604456825;22;0,06128133705;0;0;12;0,03342618384;0;0;36;0,1002785515;0;0;2;0,005571030641;9;0,02506963788;0;0;49;0;337;0,938718663;359;1;347;0,9665738162;359;1;323;0,8997214485;359;1;357;0,9944289694;350;0,9749303621;359;1;310;0,8635097493;0,11;0,11;0,11;0,1306;0,121157323688969;0,1206;"No";NA;"No";2022-04-26 07:30:00;-85;-122,39155;47,67342;"53033003202";114170,958333333;"100-150K";2022-04-26 07:00:00
"5";"Adams Elementary School";"Go2Work_0700";1558;18912;0,0823815566835871;7H 0M 0S;0,190143824027073;2022-04-26 07:00:00;"Adams​";1;"7:30 a.m.";"2 p.m.";"Elementary School";"Adams Elementary";"6110 28th Ave. NW";"Seattle, WA 98107";"6110 28th Ave. NW,Seattle, WA 98107";2022-04-26 08:55:00;359;164;0,4568245125;2;0,005571030641;193;0,5376044568;0;0;9;0,02506963788;11;0,03064066852;23;0,06406685237;1;0,00278551532;42;0,1169916435;273;0,7604456825;22;0,06128133705;0;0;12;0,03342618384;0;0;36;0,1002785515;0;0;2;0,005571030641;9;0,02506963788;0;0;49;0;337;0,938718663;359;1;347;0,9665738162;359;1;323;0,8997214485;359;1;357;0,9944289694;350;0,9749303621;359;1;310;0,8635097493;0,11;0,11;0,11;0,1306;0,121157323688969;0,1206;"No";NA;"No";2022-04-26 07:30:00;-85;-122,39155;47,67342;"53033003202";114170,958333333;"100-150K";2022-04-26 07:00:00
"6";"Adams Elementary School";"Go2Work_0730";2776;18912;0,14678510998308;7H 30M 0S;0,336928934010152;2022-04-26 07:30:00;"Adams​";1;"7:30 a.m.";"2 p.m.";"Elementary School";"Adams Elementary";"6110 28th Ave. NW";"Seattle, WA 98107";"6110 28th Ave. NW,Seattle, WA 98107";2022-04-26 08:55:00;359;164;0,4568245125;2;0,005571030641;193;0,5376044568;0;0;9;0,02506963788;11;0,03064066852;23;0,06406685237;1;0,00278551532;42;0,1169916435;273;0,7604456825;22;0,06128133705;0;0;12;0,03342618384;0;0;36;0,1002785515;0;0;2;0,005571030641;9;0,02506963788;0;0;49;0;337;0,938718663;359;1;347;0,9665738162;359;1;323;0,8997214485;359;1;357;0,9944289694;350;0,9749303621;359;1;310;0,8635097493;0,11;0,11;0,11;0,1306;0,121157323688969;0,1206;"No";NA;"No";2022-04-26 07:30:00;-85;-122,39155;47,67342;"53033003202";114170,958333333;"100-150K";2022-04-26 07:00:00
"7";"Adams Elementary School";"Go2Work_0800";2955;18912;0,15625;8H 0M 0S;0,493178934010152;2022-04-26 08:00:00;"Adams​";1;"7:30 a.m.";"2 p.m.";"Elementary School";"Adams Elementary";"6110 28th Ave. NW";"Seattle, WA 98107";"6110 28th Ave. NW,Seattle, WA 98107";2022-04-26 08:55:00;359;164;0,4568245125;2;0,005571030641;193;0,5376044568;0;0;9;0,02506963788;11;0,03064066852;23;0,06406685237;1;0,00278551532;42;0,1169916435;273;0,7604456825;22;0,06128133705;0;0;12;0,03342618384;0;0;36;0,1002785515;0;0;2;0,005571030641;9;0,02506963788;0;0;49;0;337;0,938718663;359;1;347;0,9665738162;359;1;323;0,8997214485;359;1;357;0,9944289694;350;0,9749303621;359;1;310;0,8635097493;0,11;0,11;0,11;0,1306;0,121157323688969;0,1206;"No";NA;"No";2022-04-26 07:30:00;-85;-122,39155;47,67342;"53033003202";114170,958333333;"100-150K";2022-04-26 07:00:00
"8";"Adams Elementary School";"Go2Work_0830";3264;18912;0,17258883248731;8H 30M 0S;0,665767766497462;2022-04-26 08:30:00;"Adams​";1;"7:30 a.m.";"2 p.m.";"Elementary School";"Adams Elementary";"6110 28th Ave. NW";"Seattle, WA 98107";"6110 28th Ave. NW,Seattle, WA 98107";2022-04-26 08:55:00;359;164;0,4568245125;2;0,005571030641;193;0,5376044568;0;0;9;0,02506963788;11;0,03064066852;23;0,06406685237;1;0,00278551532;42;0,1169916435;273;0,7604456825;22;0,06128133705;0;0;12;0,03342618384;0;0;36;0,1002785515;0;0;2;0,005571030641;9;0,02506963788;0;0;49;0;337;0,938718663;359;1;347;0,9665738162;359;1;323;0,8997214485;359;1;357;0,9944289694;350;0,9749303621;359;1;310;0,8635097493;0,11;0,11;0,11;0,1306;0,121157323688969;0,1206;"No";NA;"No";2022-04-26 07:30:00;-85;-122,39155;47,67342;"53033003202";114170,958333333;"100-150K";2022-04-26 07:00:00
"9";"Adams Elementary School";"Go2Work_0900";1796;18912;0,0949661590524535;9H 0M 0S;0,760733925549915;2022-04-26 09:00:00;"Adams​";1;"7:30 a.m.";"2 p.m.";"Elementary School";"Adams Elementary";"6110 28th Ave. NW";"Seattle, WA 98107";"6110 28th Ave. NW,Seattle, WA 98107";2022-04-26 08:55:00;359;164;0,4568245125;2;0,005571030641;193;0,5376044568;0;0;9;0,02506963788;11;0,03064066852;23;0,06406685237;1;0,00278551532;42;0,1169916435;273;0,7604456825;22;0,06128133705;0;0;12;0,03342618384;0;0;36;0,1002785515;0;0;2;0,005571030641;9;0,02506963788;0;0;49;0;337;0,938718663;359;1;347;0,9665738162;359;1;323;0,8997214485;359;1;357;0,9944289694;350;0,9749303621;359;1;310;0,8635097493;0,11;0,11;0,11;0,1306;0,121157323688969;0,1206;"No";NA;"No";2022-04-26 07:30:00;-85;-122,39155;47,67342;"53033003202";114170,958333333;"100-150K";2022-04-26 07:00:00
"10";"Adams Elementary School";"Go2Work_1000";1715;18912;0,0906831641285956;10H 0M 0S;0,851417089678511;2022-04-26 10:00:00;"Adams​";1;"7:30 a.m.";"2 p.m.";"Elementary School";"Adams Elementary";"6110 28th Ave. NW";"Seattle, WA 98107";"6110 28th Ave. NW,Seattle, WA 98107";2022-04-26 08:55:00;359;164;0,4568245125;2;0,005571030641;193;0,5376044568;0;0;9;0,02506963788;11;0,03064066852;23;0,06406685237;1;0,00278551532;42;0,1169916435;273;0,7604456825;22;0,06128133705;0;0;12;0,03342618384;0;0;36;0,1002785515;0;0;2;0,005571030641;9;0,02506963788;0;0;49;0;337;0,938718663;359;1;347;0,9665738162;359;1;323;0,8997214485;359;1;357;0,9944289694;350;0,9749303621;359;1;310;0,8635097493;0,11;0,11;0,11;0,1306;0,121157323688969;0,1206;"No";NA;"No";2022-04-26 07:30:00;-85;-122,39155;47,67342;"53033003202";114170,958333333;"100-150K";2022-04-26 07:00:00
